id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
5225,ʃɔʃu,ʃɔʃu,,,OIAśvaśrū,n3_f-Vmother-in-law,свекровь ʃɔʈʰcardnum sixty,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5226,ʃpanga,ʃpanga,NOUN,6_f-alie,Unknown,,"ложь, выдумка",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5227,ʃrab,ʃrab,NOUN,4_m-C,"Arab, Hin s ́arāb < šarāb",wine,вино,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5228,ʃraɭ,ʃraɭ,NOUN,4_m-C,OIA*śirōvāla,hair,волосы ʃrapn 4_m-C curseпроклятие,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5229,ʃreɳa,ʃreɳa,NOUN,1_m-a,Bad OIA*śiraādhāna,pillow,подушка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5230,ʃrir,ʃrir,NOUN,4_m-C,OIAśárīra,body,тело,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5231,ʃuka,ʃuka,ADJ,,OIAśúṣka,them. dry,сухой sukhā ʃukɳavidry сохнуть,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5232,ʃukpuk,ʃukpuk,,,Unknown,n4_m-C whisper,шёпот118 of 32 7/7/2023 9:54 PM ʃukʰiɳa vibe thirsty хотеть пить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5233,ʃuɳɖʰ,ʃuɳɖh,NOUN,,OIA12515 śuṇṭhī,dry ginger,сухой имбирь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5234,ʃuɳna,ʃuɳna,,,OIAśr̥ṇṓti,vt1) listen,"слушать sunnā2) hear ʃuru kɛrna (Arab, Hin s ̌urū < šuru') vtbegin T t",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5235,taki,taki,NOUN,3_f-Vwindow,"Pers, Arab taq",,окно,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
