id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
643,leɳa,leɳa,,,Bad OIA word lábhatē,vt1) take,брать 2) buy покупать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
644,lepɳavtspread,lepɳavtspread,,,cream on skin,,мазать (крем на кожу)234 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
645,lepәɽa,lepәɽa,,,OIAlēpya 'plaster',n1_m-a bark (of tree),кора lern 5_f-Ccry плач leravtcry плач,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
646,lesɳavtштукатурить,lesɳavtштукатурить,,,пол и стены,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
647,leʈɳa,leʈɳa,,,OIAlēṭyáti,vilie down,лежать leṭna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
648,lɛkəɖ,lɛkəɖ,NOUN,4_m-C,Hinlakar ̣ < *lakkuṭa,wood,"дерево, деревяшка",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
649,lɛkɽi,lɛkɽi,NOUN,3_f-Vwood,Hin lakṛī < *lakkuṭa,,дерево,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
650,lɛngɽa,lɛngɽa,ADJ,,ɛ/ɐ IA languagelaṅga + suff,them. lame,хромой lɛrdzn 5_f-Cbumni or earring chainцепочка бумни или серьги,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
651,lɛɽna,lɛɽna,,,ɛ/ɐ IA language*laḍ,vifight,драться laṛna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
652,lɛsəɳ,lɛsəɳ,NOUN,4_m-C,Hin lasun < láśuna,garlic,чеснок ləkɽira mistri n 2_m-V carpenterплотник,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
653,ləɽai,ləɽai,NOUN,3_f-V1),OIA*laḍ,fight,сражение 2) warвойна,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
